date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,city
2023-03-21,81.52499999999999,56.19583333333333,1028.7083333333333,49.987500000000004,44.291666666666664,71.95833333333333,Delhi
2023-03-22,117.7,81.3,2101.875,73.88333333333334,70.22916666666667,67.70833333333333,Delhi
2023-03-23,92.89166666666667,60.875,1565.0,57.80833333333334,49.68333333333334,55.125,Delhi
2023-03-24,108.33749999999999,69.0125,1302.0833333333333,68.6875,61.72083333333333,55.458333333333336,Delhi
2023-03-25,102.1125,65.7,1166.875,61.833333333333336,51.84166666666667,66.5,Delhi
2023-03-26,72.24583333333334,43.65,623.7916666666666,43.22083333333333,30.008333333333336,65.5,Delhi
2023-03-27,73.05,44.9,735.8333333333334,44.90416666666667,30.545833333333334,65.66666666666667,Delhi
2023-03-28,87.64166666666667,56.875,1234.5416666666667,55.770833333333336,45.98333333333333,65.125,Delhi
2023-03-29,117.375,78.58749999999999,1527.1666666666667,67.41666666666667,68.21666666666667,71.625,Delhi
2023-03-30,119.3875,79.33333333333333,1093.0833333333333,63.083333333333336,61.06666666666666,83.375,Delhi
2023-03-31,70.97916666666667,47.71666666666667,702.7916666666666,46.975,35.583333333333336,70.91666666666667,Delhi
2023-04-01,108.3125,73.825,1734.6666666666667,70.13333333333334,75.875,54.291666666666664,Delhi
2023-04-02,152.37916666666666,102.71249999999999,2827.7083333333335,84.71666666666667,98.42916666666667,63.625,Delhi
2023-04-03,91.375,58.32916666666667,1327.125,62.82083333333333,53.1,55.25,Delhi
2023-04-04,67.58333333333333,39.887499999999996,752.5833333333334,45.475,37.449999999999996,64.29166666666667,Delhi
2023-04-05,59.65,35.69166666666667,730.5,42.4125,34.725,64.95833333333333,Delhi
2023-04-06,52.76666666666667,30.2,576.5,39.3125,30.195833333333336,71.125,Delhi
2023-04-07,50.28333333333333,29.3625,584.4166666666666,35.17916666666667,28.016666666666666,77.375,Delhi
2023-04-08,52.48333333333333,32.55416666666667,682.375,40.829166666666666,31.7625,84.08333333333333,Delhi
2023-04-09,56.979166666666664,36.43333333333333,780.375,45.90833333333333,35.28333333333333,77.58333333333333,Delhi
